Start debug log file for scene: MainMenuUI -> 2016-04-09 (22:10:56:5578)

5:3033)
2016-04-06 (11:08:52:7941)| scene: MainMenuUI | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-06 (11:08:52:8097)| scene: MainMenuUI | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
2016-04-06 (13:54:10:7480)| scene: 7UniformCosts1 | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-06 (13:54:10:7518)| scene: 7UniformCosts1 | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
2016-04-06 (13:58:15:0398)| scene: 19HotPotato1 | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-06 (13:58:15:0434)| scene: 19HotPotato1 | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
2016-04-06 (14:39:26:4207)| scene: MainMenuUI | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-06 (14:39:26:4221)| scene: MainMenuUI | Replaced: Level State: (LevelId: 8, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-06 (14:39:26:4245)| scene: MainMenuUI | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
2016-04-06 (14:39:26:4246)| scene: MainMenuUI | Read << Level State: (LevelId: 8, NumberOfStars: 2, PlayerScore: 75)
2016-04-06 (14:43:28:4645)| scene: MainMenuUI | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-06 (14:43:28:4659)| scene: MainMenuUI | Replaced: Level State: (LevelId: 8, NumberOfStars: 2, PlayerScore: 94)? False.
2016-04-06 (14:43:28:4683)| scene: MainMenuUI | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
2016-04-06 (14:43:28:4683)| scene: MainMenuUI | Read << Level State: (LevelId: 8, NumberOfStars: 2, PlayerScore: 94)
2016-04-06 (14:50:00:7324)| scene: MainMenuUI | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-06 (14:50:00:7339)| scene: MainMenuUI | Replaced: Level State: (LevelId: 8, NumberOfStars: 2, PlayerScore: 94)? False.
2016-04-06 (14:50:00:7374)| scene: MainMenuUI | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
2016-04-06 (14:50:00:7375)| scene: MainMenuUI | Read << Level State: (LevelId: 8, NumberOfStars: 2, PlayerScore: 94)
2016-04-06 (15:07:44:1686)| scene: MainMenuUI | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-06 (15:07:44:1699)| scene: MainMenuUI | Replaced: Level State: (LevelId: 8, NumberOfStars: 3, PlayerScore: 100)? False.
2016-04-06 (15:07:44:1728)| scene: MainMenuUI | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
2016-04-06 (15:07:44:1730)| scene: MainMenuUI | Read << Level State: (LevelId: 8, NumberOfStars: 3, PlayerScore: 100)
2016-04-08 (09:49:13:3054)| scene: MainMenuUI | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-08 (09:49:13:3061)| scene: MainMenuUI | Replaced: Level State: (LevelId: 8, NumberOfStars: 3, PlayerScore: 100)? False.
2016-04-08 (09:49:13:3081)| scene: MainMenuUI | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
2016-04-08 (09:49:13:3081)| scene: MainMenuUI | Read << Level State: (LevelId: 8, NumberOfStars: 3, PlayerScore: 100)
2016-04-08 (10:55:08:0220)| scene: MainMenuUI | Replaced: Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)? False.
2016-04-08 (10:55:08:0233)| scene: MainMenuUI | Replaced: Level State: (LevelId: 8, NumberOfStars: 3, PlayerScore: 100)? False.
2016-04-08 (10:55:08:0266)| scene: MainMenuUI | Read << Level State: (LevelId: 0, NumberOfStars: 2, PlayerScore: 75)
